Movie Name,Release Period,Release Period2,Release Period3,Whether Remake,whether franchise ,Whether Franchise,Genre,new actor,New Actor2,new director,New Director2,new music ,New Music Director,Lead Star,Director,Music Director,Number of Screens,Budget(INR),Revenue(INR),Verdict
10ml Love,1,Normal,0,No,0,No,rom__com,0,No,1,Yes,0,No,Rajat Kapoor,Sharat Katariya,Sagar Desai,25,"₹ 1,25,00,000.00","₹ 6,90,000.00",Flop
Phas Gaye Re Obama,1,Normal,0,No,0,No,comedy,0,No,1,Yes,1,Yes,Rajat Kapoor,Subhash Kapoor,Manish Tipu,200,"₹ 6,25,00,000.00","₹ 3,96,00,000.00",Flop
Who's There? Kaun Hai Wah?,1,Normal,0,No,0,No,suspense,1,Yes,1,Yes,0,No,Rajbeer Singh,Ejaz Ahmed,Dinu,150,"₹ 1,75,00,000.00","₹ 29,00,000.00",Flop
Table No. 21,1,Normal,0,No,0,No,thriller,0,No,1,Yes,1,Yes,Rajeev Khandelwal,Aditya Datt,Gajendra Verma,850,"₹ 8,50,00,000.00","₹ 17,79,50,000.00",Blockbuster
Ishq Actually,1,Normal,0,No,0,No,love_story,0,No,1,Yes,0,No,Rajeev Khandelwal,Anish Khanna,Chirantan Bhatt,350,"₹ 3,50,00,000.00","₹ 52,00,000.00",Flop
Shaitan,1,Normal,0,No,0,No,thriller,0,No,1,Yes,0,No,Rajeev Khandelwal,Bejoy Nambiar,Ranjit Barot,575,"₹ 12,00,00,000.00","₹ 11,25,00,000.00",Average
Samrat & Co.,1,Normal,0,No,0,No,suspense,0,No,0,No,0,No,Rajeev Khandelwal,Kaushik Ghatak,Ankit Tiwari,625,"₹ 15,00,00,000.00","₹ 2,13,00,000.00",Flop
Soundtrack,1,Normal,0,No,0,No,drama,0,No,1,Yes,1,Yes,Rajeev Khandelwal,Neerav Ghosh,Vishal Vaid,225,"₹ 5,50,00,000.00","₹ 85,00,000.00",Flop
Aamir,1,Normal,0,No,0,No,thriller,1,Yes,1,Yes,1,Yes,Rajeev Khandelwal,Raj Kumar Gupta,Amit Trivedi,150,"₹ 3,50,00,000.00","₹ 3,26,00,000.00",Average
Tera Pati Mera Pyar,1,Normal,0,No,0,No,adult,0,No,1,Yes,1,Yes,Rajeev Raj,Dharam Veer Billa,Suraj Kumar,1,"₹ 30,00,000.00","₹ 10,25,000.00",Flop
Radha Ne Mala Japi Shyam Ki,1,Normal,0,No,0,No,drama,0,No,0,No,0,No,Rajeev Verma,Lawrence D'Souza,Ravindra Jain,1,"₹ 15,00,000.00","₹ 72,500.00",Flop
